source name,link
Wotan,https://doi.org/10.3847/1538-3881/ab3984
Lightkurve,https://github.com/lightkurve/lightkurve
HEARSAC TESS Data Products,https://heasarc.gsfc.nasa.gov/docs/tess/data-products.html
Pytorch Paper,https://doi.org/10.48550/arXiv.1912.01703
Pytorch Introduction,https://docs.pytorch.org/tutorials/beginner/deep_learning_60min_blitz.html
Astronet V2,https://doi.org/10.3847/1538-3881/acad85
Backpropogation Intuition 3B1B,https://www.youtube.com/watch?v=Ilg3gGewQ5U
Gradient Descent 3B1B,https://www.youtube.com/watch?v=IHZwWFHWa-w
But What is a Neural Network? 3B1B,https://www.youtube.com/watch?v=aircAruvnKk
Why the Exoplanet Map Looks Like This,https://www.youtube.com/watch?v=yarWar-8p8A
Astronet Original,https://arxiv.org/abs/1904.02726
HEARSAC TESS Overview,https://heasarc.gsfc.nasa.gov/docs/tess/what-is-tess.html
MIT TESS Mission,https://tess.mit.edu/science/